,W1,W2,W3,Z152,Z223,Z268,Z272,Z70,Z81,Z9
W1,1.0,0.3714477123270382,0.3626234192319284,0.7298402727569134,0.6909887997049662,0.46093160123690846,0.4689094827932524,0.390792953180189,0.6806191775241462,0.6096167550086695
W2,0.3714477123270382,1.0,0.38704497429938867,0.3849757600109051,0.3617672872012112,0.5404892663327167,0.4563274040060917,0.4442835475409487,0.3361973508189803,0.21109435623568276
W3,0.3626234192319284,0.38704497429938867,1.0,0.3230276079168065,0.4506332624023638,0.47383608507108904,0.5007823583435901,0.5581497333760906,0.38624343357409135,0.2596509865931733
Z152,0.7298402727569134,0.3849757600109051,0.3230276079168065,1.0,0.7460628840043471,0.5982484326158259,0.526523010728053,0.43879514359695165,0.6985724236276916,0.6830296354992842
Z223,0.6909887997049662,0.3617672872012112,0.4506332624023638,0.7460628840043471,1.0,0.6134693970699764,0.4995840706745098,0.458087574651397,0.752626652571577,0.6199384445188045
Z268,0.46093160123690846,0.5404892663327167,0.47383608507108904,0.5982484326158259,0.6134693970699764,1.0,0.6004735549212449,0.5468020078089549,0.5011853982996912,0.39773554762338204
Z272,0.4689094827932524,0.4563274040060917,0.5007823583435901,0.526523010728053,0.4995840706745098,0.6004735549212449,1.0,0.7172979858789135,0.429894989250195,0.36871469706970844
Z70,0.390792953180189,0.4442835475409487,0.5581497333760906,0.43879514359695165,0.458087574651397,0.5468020078089549,0.7172979858789135,1.0,0.37911213473616884,0.31079847296388563
Z81,0.6806191775241462,0.3361973508189803,0.38624343357409135,0.6985724236276916,0.752626652571577,0.5011853982996912,0.429894989250195,0.37911213473616884,1.0,0.6865639048633779
Z9,0.6096167550086695,0.21109435623568276,0.2596509865931733,0.6830296354992842,0.6199384445188045,0.39773554762338204,0.36871469706970844,0.31079847296388563,0.6865639048633779,1.0
